"gene_name"	"module"	"color"	"kME_turquoise"	"kME_red"	"kME_grey"	"kME_brown"	"kME_blue"	"kME_yellow"	"kME_green"
"LINC01409"	"LINC01409"	"grey"	"grey"	0.0704373417797957	0.0791921514198233	0.0740010399992016	0.0831268843350631	0.0510084947627795	0.0387438606189904	0.02464590495164
"LINC01128"	"LINC01128"	"grey"	"grey"	0.0273462424182822	0.0609449462244432	0.107418676780616	0.106630312051517	0.152887899522616	0.0730128736791024	0.103135572889969
"SAMD11"	"SAMD11"	"yellow"	"yellow"	0.0867931227761179	-0.0270404058291887	-0.0298566098153589	-0.097879287297219	-0.10700738328553	0.0713113847923593	0.0693079242801234
"NOC2L"	"NOC2L"	"grey"	"grey"	-0.0182644019336678	-0.01082006684472	0.0113359088756453	-0.0265601743863982	0.0298089684119848	0.012910032081738	0.0284747002480861
"C1orf159"	"C1orf159"	"grey"	"grey"	-0.0173087238409878	-0.0275228428996468	0.0438774769986538	-0.00917761029110403	0.056478163445528	0.0443486619984476	0.0463233444313195
"SDF4"	"SDF4"	"grey"	"grey"	-0.0463209493925209	-0.0293571729245306	0.0162031849828346	-0.0219290058435344	0.0525928402141146	0.00334036290472896	0.0130005096537917
"UBE2J2"	"UBE2J2"	"grey"	"grey"	-0.0570394315071409	-0.033756248308641	0.0633063521258114	-0.00280093050590528	0.114915665998148	0.04251153869186	0.0650015799354636
"ACAP3"	"ACAP3"	"blue"	"blue"	-0.140204494389316	-0.10663642016256	0.0718811634633422	-0.103320542214428	0.28006420091292	0.12246494601592	0.177025705353721
"INTS11"	"INTS11"	"blue"	"blue"	-0.0577102469369836	-0.0178011204648719	0.0257179725808362	-0.00979629225178591	0.0939443581402383	0.017804120679869	0.0391031809498875
"CCNL2"	"CCNL2"	"blue"	"blue"	-0.0545498600506106	-0.0246399532871171	0.07851651918977	0.0130719715187374	0.177773131729896	0.0495147091091797	0.0831054331085223
"MRPL20"	"MRPL20"	"grey"	"grey"	-0.0260489796173016	-0.00261475218349673	0.0339190199281573	0.0063668766236083	0.0639257990243699	0.0214049129091512	0.0368946194724233
"ATAD3B"	"ATAD3B"	"grey"	"grey"	-0.0429504021614931	-0.0358437553562526	0.0417995942225581	-0.0125785867099904	0.105092250811018	0.0458910901273062	0.0607063912538583
"SSU72"	"SSU72"	"grey"	"grey"	-0.0262220904555798	-0.00951152085331886	0.0505623890683287	0.0284690506213549	0.0899331344288527	0.0165516048350259	0.0375906698834241
"CDK11B"	"CDK11B"	"blue"	"blue"	-0.0616310447337843	-0.00833671528645074	0.0661767483569802	0.0576540068633917	0.143879710401356	0.00962574162311061	0.0419616201925311
"SLC35E2B"	"SLC35E2B"	"grey"	"grey"	-0.0243872226813944	-0.0184484252939918	0.0631257552072431	-0.0402749996912135	0.106570677393735	0.08719851421675	0.0993601374918978
"CDK11A"	"CDK11A"	"grey"	"grey"	-0.0465702285033065	0.000392138143128315	0.0625103380584252	0.0397282291930694	0.123888581602119	0.0147550137541668	0.0379565316194083
"SLC35E2A"	"SLC35E2A"	"grey"	"grey"	0.0102126052819265	0.0168813227044629	0.0803345620125811	-0.0109772590459389	0.121152690167178	0.0756297357120639	0.0835878826327081
"NADK"	"NADK"	"grey"	"grey"	-0.0396601399280726	-0.0215923215578785	0.0516051189189035	-0.00834068548334103	0.0980410454377568	0.0408064178490323	0.0626963047644435
"GNB1"	"GNB1"	"blue"	"blue"	-0.0404173520382656	-0.0258679595985526	0.163849299858924	0.0683583439670351	0.28015444580372	0.135190916165715	0.136011178127527
"PRKCZ"	"PRKCZ"	"grey"	"grey"	-0.0525702729401888	-0.0254605630528142	0.0895574594987018	-0.00342806586151951	0.135963180977941	0.0674189151519775	0.085226839270941
"FAAP20"	"FAAP20"	"grey"	"grey"	-0.0489867899628037	-0.0277440136915489	0.0103269236232663	-0.0357434783913842	0.0681826858256546	0.0227057921316169	0.0445323030159621
"SKI"	"SKI"	"grey"	"grey"	-0.016292166762459	-0.0114734811287911	0.095895833050832	0.0046439838658611	0.101456302992538	0.098681054143041	0.102119849416935
"MORN1"	"MORN1"	"grey"	"grey"	-0.0226221600189303	0.0013847480486598	0.0321953664683892	0.00579814109790104	0.0495231677555937	0.00564095059113825	0.022262905000758
"RER1"	"RER1"	"grey"	"grey"	-0.0310057483831489	0.00278866131932587	0.0411220338820504	0.0191959757799554	0.0646317730132986	0.00739692636044875	0.0172403288665508
"TNFRSF14"	"TNFRSF14"	"grey"	"grey"	-0.0261183939325174	0.0281299698520123	0.00407976788245823	0.00405564351397711	0.0420469345284519	-0.013353092386393	0.0253458583525721
"PRDM16"	"PRDM16"	"grey"	"grey"	-0.0880714434963328	-0.0745078811050027	0.110134044595566	-0.0641925734423232	0.224806963454779	0.139958536428115	0.140293810409819
"CEP104"	"CEP104"	"grey"	"grey"	-0.0210997624192791	-0.00788381585447767	0.095181655989401	0.019966808046221	0.129385957448985	0.0712292496057463	0.069403027846077
"DFFB"	"DFFB"	"grey"	"grey"	0.00994757670806941	0.0161927168284176	0.0554463279561105	0.022849083386934	0.0789073387342897	0.0425960502866844	0.0542320138012548
"NPHP4"	"NPHP4"	"grey"	"grey"	0.0125799459635431	0.00487637400321072	0.0770074916484545	0.057451710763811	0.0507638361708862	0.036594613246669	0.0272610020763203
"RPL22"	"RPL22"	"grey"	"grey"	-0.0549429177101124	-0.0253440210223213	0.00707861948355991	0.0157292059055172	0.0636506302255366	-0.00984712805751671	-0.000148917350633196
"NOL9"	"NOL9"	"grey"	"grey"	-0.0293419284990033	-0.0163901047619141	0.0670770750180082	0.0161678804956819	0.112077298754253	0.0378414672329866	0.0570785103330966
"ZBTB48"	"ZBTB48"	"grey"	"grey"	-0.016557182886071	-0.0205913068099393	0.0303537700829363	-0.020194890824826	0.0594051556348944	0.0354246919977706	0.0459131723928271
"DNAJC11"	"DNAJC11"	"blue"	"blue"	-0.0477289904698425	0.00156247619335698	0.101331269457864	0.0564647045445393	0.178838074567906	0.0433238746541298	0.0735196172831042
"CAMTA1"	"CAMTA1"	"grey"	"grey"	0.0808027571587222	0.0793032870099301	0.130240211938374	0.125468131278824	0.108508404268356	0.0565792517547086	0.028100698187663
"VAMP3"	"VAMP3"	"grey"	"grey"	-0.000909615149096449	0.0062694574732088	0.0328183595176552	0.0355056120884582	0.0466108903081015	0.0152637819928725	0.0190612248607221
"PER3"	"PER3"	"grey"	"grey"	-0.0294842107853185	0.092822198980881	0.115660147276242	0.158674904480985	0.243803713335767	0.00343321363177186	0.103514347171228
"PARK7"	"PARK7"	"grey"	"grey"	-0.0164215099561717	0.00385704419268522	0.0441091720226386	0.0256828609947959	0.0677989083603174	0.00429373506501382	0.0232380201588569
"ERRFI1"	"ERRFI1"	"grey"	"grey"	0.0915259794579246	0.0375826754914496	0.0243961362614063	0.0560057351305934	-0.0394634165770875	0.0841501377558841	0.0437615276840193
"RERE"	"RERE"	"turquoise"	"turquoise"	0.214048619565542	0.167807337060903	0.0722564577039604	0.075939362963232	0.0312948490470343	0.10487918328097	0.0813723320859111
"ENO1"	"ENO1"	"grey"	"grey"	-0.00824219212792873	-0.0046010556643916	0.0464398815790915	0.0266178791020914	0.0635075012059787	0.0367844096764079	0.0399517219681522
"MIR34AHG"	"MIR34AHG"	"grey"	"grey"	0.0515456769507256	0.0264497062676259	0.0274778857234218	0.0175792516844251	0.00317392135151032	0.00861671481240126	0.0275020856609566
"H6PD"	"H6PD"	"grey"	"grey"	0.0048425241691803	0.0194744991758934	0.0659979645220288	0.0423906540569468	0.0688871254256684	0.0435049293548207	0.0359206928704582
"SPSB1"	"SPSB1"	"grey"	"grey"	0.0499319700275279	-0.0213801798207352	0.0456301938411941	0.0475617157121797	-0.0371264642794948	0.0813901362859743	0.0135155136478895
"SLC25A33"	"SLC25A33"	"blue"	"blue"	-0.0592199596147479	0.0117619648649651	0.0724954655948695	0.0687798943154417	0.200842776901293	0.0223193998535914	0.0541511141995478
"CLSTN1"	"CLSTN1"	"grey"	"grey"	-0.00118142882102634	0.0134250899986574	0.102299105954502	0.065208004522961	0.129574392377085	0.0644767043022978	0.0756318334440092
"CTNNBIP1"	"CTNNBIP1"	"blue"	"blue"	-0.036151394563074	0.00220495290125072	0.111229002948829	0.0057672223035923	0.214476586257521	0.0904449723150138	0.123681957975902
"LZIC"	"LZIC"	"grey"	"grey"	-0.0148574452152948	-0.0013239174613498	0.031538176778721	0.00216441616590471	0.0614893345889512	0.0163373419432695	0.0292923898065809
"NMNAT1"	"NMNAT1"	"grey"	"grey"	-0.02565206405868	-0.0280474672447248	0.0449230366389774	-0.0390018003503651	0.0928691256814484	0.0632400016697475	0.077574055871934
"UBE4B"	"UBE4B"	"green"	"green"	0.0286212982209186	0.084152916333961	0.167447205687194	0.144446730904405	0.236750343504824	0.108150779013186	0.162364664588185
"KIF1B"	"KIF1B"	"grey"	"grey"	-0.0430436849280302	0.0579185500395793	0.197309336958718	0.245066935259358	0.300400953528804	0.0340974092215175	0.0570129764020079
