"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"Arnt"	"yellow"	"Arnt"	"yellow"	2.19379879654768	5.77887359309464e-06	1.45234352626006e-05	"***"	0.00972762645914397	50
"Ahr::Arnt"	"yellow"	"Ahr::Arnt"	"yellow"	2.57332850624504	1.62743556042173e-09	6.26884816561759e-09	"***"	0.0104090309338807	71
"Ddit3::Cebpa"	"yellow"	"Ddit3::Cebpa"	"yellow"	1.36899332403903	0.0775377123432616	0.0981778784861213	""	0.006720741599073	29
"Mecom"	"yellow"	"Mecom"	"yellow"	1.67737105222404	0.00304774418524187	0.00515364675978187	"**"	0.00790216368767639	42
"FOXF2"	"yellow"	"FOXF2"	"yellow"	1.44217078866796	0.0412812328847993	0.0549761375758291	""	0.00702216370419135	32
"FOXD1"	"yellow"	"FOXD1"	"yellow"	1.48070844836614	0.0485894872772635	0.0638352054749138	""	0.00717566016073479	25
"Foxq1"	"yellow"	"Foxq1"	"yellow"	1.64370456870904	0.00358967307715832	0.00597967126660239	"**"	0.00775057248546768	44
"Foxd3"	"yellow"	"Foxd3"	"yellow"	1.90825701111049	7.48720739322887e-06	1.85460654632498e-05	"***"	0.00788530465949821	88
"IRF2"	"yellow"	"IRF2"	"yellow"	2.32938530681118	4.59712322280389e-07	1.32326196432606e-06	"***"	0.0100665108754269	56
"MZF1(var.2)"	"yellow"	"MZF1(var.2)"	"yellow"	2.5610925996109	4.46363200853237e-09	1.61906133469942e-08	"***"	0.0105481860316446	66
"MAX::MYC"	"yellow"	"MAX::MYC"	"yellow"	2.15061393890242	0.00119824959451082	0.00217492505475687	"**"	0.00988822012037833	23
"PPARG"	"yellow"	"PPARG"	"yellow"	2.02533824318218	0.000516532609444546	0.000986769082319159	"***"	0.00937866354044549	32
"Pax2"	"yellow"	"Pax2"	"yellow"	2.57316187969865	0.00143571494509086	0.00257074898338311	"**"	0.0112191473448018	15
"PAX6"	"yellow"	"PAX6"	"yellow"	2.05381209968088	0.00370970873116566	0.0061554286968911	"**"	0.00946073793755913	20
"PBX1"	"yellow"	"PBX1"	"yellow"	1.09807430024592	0.393599692470751	0.42647112648247	" "	0.00546975546975547	17
"RORA"	"yellow"	"RORA"	"yellow"	1.4560504940939	0.052849259449813	0.069026345286654	""	0.00707675557974959	26
"RORA(var.2)"	"yellow"	"RORA(var.2)"	"yellow"	0.852447899717896	0.758863039204631	0.780485055946674	" "	0.00436427116671516	15
"RREB1"	"yellow"	"RREB1"	"yellow"	3.74877586947678	8.97849959654745e-20	8.77462100308873e-19	"***"	0.0108974358974359	119
"RXRA::VDR"	"yellow"	"RXRA::VDR"	"yellow"	3.08248373924693	5.74449576702362e-08	1.83267021049164e-07	"***"	0.0134028294862249	36
"SOX9"	"yellow"	"SOX9"	"yellow"	1.89803121594108	0.0024145487493159	0.00416314337516871	"**"	0.00888888888888889	28
"Sox17"	"yellow"	"Sox17"	"yellow"	1.82944964405672	0.00297865553286753	0.00504253485821297	"**"	0.00860585197934595	30
"SRY"	"yellow"	"SRY"	"yellow"	1.85786664175846	0.000693692514475628	0.00130300513471333	"**"	0.00862998921251348	40
"Sox5"	"yellow"	"Sox5"	"yellow"	1.72549172053218	0.00106605381090862	0.00194841031344508	"**"	0.0080026130981545	49
"TAL1::TCF3"	"yellow"	"TAL1::TCF3"	"yellow"	1.17390250837825	0.28819318973248	0.322005171553315	" "	0.00582643360932229	19
"Hand1::Tcf3"	"yellow"	"Hand1::Tcf3"	"yellow"	2.31303683826176	1.06353536161842e-05	2.58983116753586e-05	"***"	0.0103923096908288	40
"REL"	"yellow"	"REL"	"yellow"	2.19676955834768	4.42313920386973e-05	9.84483892417748e-05	"***"	0.00997899159663865	38
"RELA"	"yellow"	"RELA"	"yellow"	1.8078093291959	0.00152857296654623	0.0027236833591803	"**"	0.00846681922196796	37
