"gene_name"	"module"	"color"	"kME_green"	"kME_brown"	"kME_red"	"kME_black"	"kME_blue"	"kME_grey"	"kME_turquoise"	"kME_yellow"	"kME_pink"
"LINC01409"	"LINC01409"	"grey"	"grey"	0.0431326888634279	0.0825027871496164	0.0346468657713644	0.0741379056403819	0.0616225230258296	0.0199394761367569	0.0521502066149987	0.0316709373854934	0.0233014730697281
"LINC01128"	"LINC01128"	"grey"	"grey"	0.0732892186372418	0.106919432523183	0.0272042561708555	0.0544786835363143	0.00429943825123988	0.0273439159760907	0.157352424215653	0.0739704944496708	0.0925298461960486
"SAMD11"	"SAMD11"	"yellow"	"yellow"	-0.101915944964265	-0.112352358768716	0.0596954087790025	-0.0335704533114222	0.0949712004655779	-0.163843101001783	-0.10028754266881	0.0806905880882338	0.0761034756414745
"NOC2L"	"NOC2L"	"grey"	"grey"	-0.00570821018724864	-0.0250484687276709	-0.00410491248185538	-0.0100820927499439	-0.0207569090553821	0.0174634964500554	0.0294903445166811	0.0175764672456455	0.0301131380998117
"C1orf159"	"C1orf159"	"grey"	"grey"	0.00804126410584799	-0.00717830355656225	-0.0174533675592589	-0.0275702002147129	-0.0100317924898462	0.0290827771120016	0.0528706362165972	0.0477840854609465	0.0423549709185102
"SDF4"	"SDF4"	"grey"	"grey"	0.00422864112423854	-0.0176885267325062	-0.0124334015676074	-0.0269054571329837	-0.0436732347548972	0.0745287318266525	0.0468503177357287	-0.000774549485123168	0.0169351331283732
"UBE2J2"	"UBE2J2"	"turquoise"	"turquoise"	0.0147866970533599	0.00577580968442957	-0.0336011303129038	-0.0321889886351369	-0.0499632934177791	0.111932984380376	0.116729701812356	0.0463278526346789	0.0587373171085033
"ACAP3"	"ACAP3"	"turquoise"	"turquoise"	-0.0522445736158376	-0.0766446596813677	-0.0549594891112025	-0.0980606247408682	-0.114853633194671	0.232765888916368	0.272067430638082	0.127883929467663	0.184226829101745
"INTS11"	"INTS11"	"turquoise"	"turquoise"	-3.50851116312602e-05	-0.00613125387897508	-0.0339206748570528	-0.0217385357470839	-0.0606597732887438	0.0505463279361294	0.0926373000069207	0.0181367031498037	0.0456735899083734
"CCNL2"	"CCNL2"	"turquoise"	"turquoise"	0.0261105764598189	0.0215793327442871	-0.0268697610428031	-0.0243934007813061	-0.0592916600306856	0.102746885452738	0.175887930746711	0.0493629588330155	0.0865684296433038
"MRPL20"	"MRPL20"	"grey"	"grey"	0.00186866585219434	0.005448446365773	-0.0221501903868185	-0.00647424977345056	-0.0325152492624307	0.0433851860212091	0.0622746731552739	0.0227665714898249	0.0330307612903347
"ATAD3B"	"ATAD3B"	"grey"	"grey"	0.0114687076963462	-0.00211122110310733	-0.0223997935353366	-0.0250445102121131	-0.0381403715097044	0.0731305892399442	0.105598231971445	0.0391178973620978	0.0592311113329809
"SSU72"	"SSU72"	"grey"	"grey"	0.0391516029027024	0.0308152748535471	-0.0206175515566091	-0.00797393129402523	-0.0350012137232755	0.0383674545946703	0.0866431193759558	0.0189246284261242	0.0372608353106415
"CDK11B"	"CDK11B"	"turquoise"	"turquoise"	0.0688400703957551	0.0643509961339679	-0.0247502048471882	-0.00910607088628499	-0.0743622921184009	0.0826685374430448	0.139969342517428	0.0095945701274302	0.0353090851807424
"SLC35E2B"	"SLC35E2B"	"grey"	"grey"	-0.0109708013827428	-0.0233633043848682	-0.00469926538428923	-0.00756990157561551	0.00292472550886728	0.128746796969394	0.103928178719022	0.0787137061012361	0.0984669472456237
"CDK11A"	"CDK11A"	"grey"	"grey"	0.0379513016556597	0.0476469700382165	-0.0309513022432243	-0.000224371746901348	-0.0568584705431484	0.0718913108040796	0.122711228237149	0.0115656591822536	0.0334271768927712
"SLC35E2A"	"SLC35E2A"	"grey"	"grey"	-0.0120024755922564	0.00915310853482878	-0.00143904251560661	0.0292406665614366	0.0300005572873989	0.13893754484904	0.120575955249389	0.0681123710271204	0.0845165639466052
"NADK"	"NADK"	"grey"	"grey"	0.00965970124209296	0.00395090163187397	-0.0101185958446129	-0.0214029335882589	-0.0270272654079623	0.110891238441531	0.0949498796514964	0.0388803628848182	0.0563908814417981
"GNB1"	"GNB1"	"turquoise"	"turquoise"	0.0619847581425489	0.0950505277842564	-0.00336615978151738	-0.0193903423977523	-0.0188654300650147	0.224316357320077	0.273586236596022	0.134247478083359	0.121024122923558
"PRKCZ"	"PRKCZ"	"grey"	"grey"	0.0322542905449892	0.0163141158006595	-0.0440196345777495	-0.0153235238721678	-0.0328342988744303	0.180696260992655	0.132172450085135	0.0643200520469235	0.0785160078953206
"FAAP20"	"FAAP20"	"grey"	"grey"	-0.00189615662953156	-0.0244143880574242	-0.0246707377836339	-0.0245576797123948	-0.03818017267573	0.0822252571515839	0.0678608242823519	0.0240131343915213	0.0396308153351134
"SKI"	"SKI"	"grey"	"grey"	0.0147046799265403	0.0167668221572078	-0.0122417669025147	-0.0154635534474463	0.000837359318994302	0.0939116376314581	0.100018198271705	0.0937280749987998	0.100276907798466
"MORN1"	"MORN1"	"grey"	"grey"	0.0236458395997038	0.0145994146673534	-0.0141651281276019	-0.00299054979460482	-0.0244652544315029	0.0732600823270915	0.0444947703937843	0.00339717321585334	0.0229639333828394
"RER1"	"RER1"	"grey"	"grey"	0.0287340798024692	0.016863237641934	-0.0204740381814484	0.00350339668558262	-0.0386616096442162	0.0444557831269575	0.0590514553909468	0.00800141199129956	0.0114204819336968
"PLCH2"	"PLCH2"	"grey"	"grey"	0.0226518684304195	-0.00500301353338798	-0.0314074861233619	-0.0148073692165145	-0.0757083375221997	-0.038391517497367	0.0472544362349647	-0.0206845269555438	0.0364747325207781
