"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"Arnt"	"yellow"	"Arnt"	"yellow"	2.63815039212549	1.8977623916927e-06	6.49045613388084e-06	"***"	0.00766358813126351	39
"Ahr::Arnt"	"yellow"	"Ahr::Arnt"	"yellow"	2.79069569632884	4.43928613776956e-08	1.88432856829365e-07	"***"	0.00752323351526774	51
"Ddit3::Cebpa"	"yellow"	"Ddit3::Cebpa"	"yellow"	1.55313810188655	0.0445315611236032	0.0631419236839305	""	0.00516431924882629	22
"Mecom"	"yellow"	"Mecom"	"yellow"	1.55421746407988	0.0310455059663234	0.0458045932279402	"*"	0.005125284738041	27
"FOXF2"	"yellow"	"FOXF2"	"yellow"	1.37611136118414	0.115173882508804	0.145606772085058	" "	0.00466045272969374	21
"FOXD1"	"yellow"	"FOXD1"	"yellow"	1.27807307013286	0.22278091844566	0.261312209371796	" "	0.00437062937062937	15
"Foxq1"	"yellow"	"Foxq1"	"yellow"	1.30307634229252	0.142363379370104	0.175324937697231	" "	0.00443734469293575	25
"Foxd3"	"yellow"	"Foxd3"	"yellow"	2.08647086073576	2.29514900019641e-05	6.601180353336e-05	"***"	0.00566393958464443	63
"IRF2"	"yellow"	"IRF2"	"yellow"	2.30828639267444	3.38871486541062e-05	9.5711549061858e-05	"***"	0.00688530530893278	38
"MZF1(var.2)"	"yellow"	"MZF1(var.2)"	"yellow"	3.01192457881429	6.55043600337162e-09	3.04462632929298e-08	"***"	0.00805023345677025	50
"MAX::MYC"	"yellow"	"MAX::MYC"	"yellow"	2.847483693642	0.000103196695840557	0.000267192139165485	"***"	0.00882223202470225	20
"PPARG"	"yellow"	"PPARG"	"yellow"	2.3869514439425	0.000257434494218386	0.000613076241618247	"***"	0.0074471254095919	25
"Pax2"	"yellow"	"Pax2"	"yellow"	1.44958334249107	0.245186967288512	0.284407350977228	" "	0.00467289719626168	6
"PAX6"	"yellow"	"PAX6"	"yellow"	1.29884292043514	0.273180038527575	0.313406088030098	" "	0.00436257876878332	9
"PBX1"	"yellow"	"PBX1"	"yellow"	1.14025299699989	0.37671698413053	0.415649281066926	" "	0.00393313667649951	12
"RORA"	"yellow"	"RORA"	"yellow"	1.48039671232106	0.0844559266421371	0.110800828797598	" "	0.00497237569060773	18
"RORA(var.2)"	"yellow"	"RORA(var.2)"	"yellow"	1.10949107406468	0.404159440443741	0.442654347690997	" "	0.00384957062481492	13
"RREB1"	"yellow"	"RREB1"	"yellow"	4.83571250231532	6.70294724425717e-19	6.94499811696645e-18	"***"	0.00817413666421749	89
"RXRA::VDR"	"yellow"	"RXRA::VDR"	"yellow"	2.98767850467379	1.31200207933316e-05	3.94658689992958e-05	"***"	0.00910470409711684	24
"SOX9"	"yellow"	"SOX9"	"yellow"	1.54406008278774	0.0750949279055295	0.0998811075864052	""	0.00516129032258065	16
"Sox17"	"yellow"	"Sox17"	"yellow"	1.4709884981879	0.0942368720518956	0.121917548754761	" "	0.00494617398894385	17
"SRY"	"yellow"	"SRY"	"yellow"	1.83125707767012	0.00545201770351753	0.00983902076038483	"**"	0.00588748364587876	27
"Sox5"	"yellow"	"Sox5"	"yellow"	2.05616847886148	0.000272448160965308	0.000645995480588382	"***"	0.00625823451910408	38
"TAL1::TCF3"	"yellow"	"TAL1::TCF3"	"yellow"	0.882882900559395	0.69248166606279	0.715500447206151	" "	0.00311720698254364	10
"Hand1::Tcf3"	"yellow"	"Hand1::Tcf3"	"yellow"	2.95700014744884	8.33794629358533e-07	3.00306961255988e-06	"***"	0.00869794412229836	33
"REL"	"yellow"	"REL"	"yellow"	2.64201191187321	1.56921337140631e-05	4.64767513675079e-05	"***"	0.0079914757591902	30
"RELA"	"yellow"	"RELA"	"yellow"	2.34692747891771	9.12507427272481e-05	0.000239377772569765	"***"	0.007185906351414	31
"TBP"	"yellow"	"TBP"	"yellow"	1.62426780169524	0.04883472037416	0.0684787620284273	""	0.00539511266264678	17
"HLTF"	"yellow"	"HLTF"	"yellow"	1.97119735454149	0.00767645543904274	0.0133332613679299	"*"	0.00638440860215054	19
"Spz1"	"yellow"	"Spz1"	"yellow"	2.90846211120776	1.70024778093522e-07	6.75571155567338e-07	"***"	0.00827985924239288	40
"NR1H2::RXRA"	"yellow"	"NR1H2::RXRA"	"yellow"	1.85243797705292	0.00690762480934219	0.0121427702097656	"*"	0.00598951834289992	24
"Znf423"	"yellow"	"Znf423"	"yellow"	2.98547342045996	2.81657001801428e-07	1.08602897914686e-06	"***"	0.00864345738295318	36
"NFIC::TLX1"	"yellow"	"NFIC::TLX1"	"yellow"	1.72920712156062	0.00861303666641556	0.0148177004396564	"*"	0.00558014238984029	29
"Nobox"	"yellow"	"Nobox"	"yellow"	1.18602885664078	0.360622297557819	0.39959039580859	" "	0.00402504472271914	9
"ZNF354C"	"yellow"	"ZNF354C"	"yellow"	2.75775838492408	6.07342232154901e-09	2.83173315742223e-08	"***"	0.0065081804212239	72
"Lhx3"	"yellow"	"Lhx3"	"yellow"	1.81498829857679	0.00240300485699866	0.00473304719028647	"**"	0.00569259962049336	36
"CTCF"	"yellow"	"CTCF"	"yellow"	3.29347615176106	2.39757479222521e-10	1.27415194657169e-09	"***"	0.00849358974358974	53
"Pou5f1::Sox2"	"yellow"	"Pou5f1::Sox2"	"yellow"	2.07443194794821	0.00016153660223114	0.000399192729654427	"***"	0.0062291096931024	41
"EWSR1-FLI1"	"yellow"	"EWSR1-FLI1"	"yellow"	4.45347567705661	4.8934874577063e-17	4.51380728710838e-16	"***"	0.00754060324825986	91
"REST"	"yellow"	"REST"	"yellow"	2.88207004644451	5.10848391811479e-08	2.15306723328454e-07	"***"	0.0079502246802627	46
"RUNX1"	"yellow"	"RUNX1"	"yellow"	1.90426511581611	0.00164540404523457	0.00335374704301909	"**"	0.0059793440840732	33
"Pparg::Rxra"	"yellow"	"Pparg::Rxra"	"yellow"	3.09246044630721	4.57797262663016e-10	2.38198261863372e-09	"***"	0.00770218228498074	60
"Arid3a"	"yellow"	"Arid3a"	"yellow"	2.86289599844954	1.67591660415605e-09	8.23877289423666e-09	"***"	0.00618961352657005	82
"NFATC2"	"yellow"	"NFATC2"	"yellow"	2.4499697785343	7.85454165893033e-07	2.83409338697075e-06	"***"	0.00664010624169987	55
"INSM1"	"yellow"	"INSM1"	"yellow"	3.38289102081892	6.50437745664985e-11	3.58762704817803e-10	"***"	0.00856297680211739	55
"RARA::RXRA"	"yellow"	"RARA::RXRA"	"yellow"	2.89854312906768	1.84042765813274e-07	7.25953222983223e-07	"***"	0.00825593395252838	40
"NR4A2"	"yellow"	"NR4A2"	"yellow"	1.48429508039701	0.0679039762716243	0.0912727320696067	""	0.00497276817428368	21
"PLAG1"	"yellow"	"PLAG1"	"yellow"	4.88402704383037	3.24748772358644e-19	3.44264572482485e-18	"***"	0.00915017728468489	80
"Nr2e3"	"yellow"	"Nr2e3"	"yellow"	1.57909501927494	0.0593718332692959	0.0812313390534521	""	0.00526315789473684	17
"ARNT::HIF1A"	"yellow"	"ARNT::HIF1A"	"yellow"	0.846937984666968	0.694789508930149	0.717594697511688	" "	0.00281491907107671	4
"Zfx"	"yellow"	"Zfx"	"yellow"	4.12988087855077	8.5905224665393e-16	7.0520272462595e-15	"***"	0.00767355782251512	85
"Crx"	"yellow"	"Crx"	"yellow"	2.79572870546172	3.31000180443082e-06	1.09078358745683e-05	"***"	0.00832249674902471	32
"DUX4"	"yellow"	"DUX4"	"yellow"	1.09253351651646	0.410049417531649	0.448446934914584	" "	0.00381861575178998	16
"FOS"	"yellow"	"FOS"	"yellow"	2.05822254294979	0.00248910167962822	0.0048800784573	"**"	0.00657894736842105	23
"FOSL2"	"yellow"	"FOSL2"	"yellow"	1.95602273133674	0.00702075534935796	0.0123090093786628	"*"	0.00633111744222855	20
"FOXH1"	"yellow"	"FOXH1"	"yellow"	1.06553357050088	0.449532115848585	0.486132877008652	" "	0.00373134328358209	15
"Foxo1"	"yellow"	"Foxo1"	"yellow"	2.28540283608535	2.97355108467388e-05	8.45860480139833e-05	"***"	0.00676933491284481	40
"Gfi1b"	"yellow"	"Gfi1b"	"yellow"	1.56518319597169	0.0135908601122276	0.0221370778247201	"*"	0.00500375281461096	40
"JUN"	"yellow"	"JUN"	"yellow"	2.17677128660527	0.000424046063723753	0.000974098117129853	"***"	0.00678521291530183	29
"JUN(var.2)"	"yellow"	"JUN(var.2)"	"yellow"	1.41765122020328	0.111198215790111	0.141138016128325	" "	0.00478850758180367	18
"JUND(var.2)"	"yellow"	"JUND(var.2)"	"yellow"	1.78118709315774	0.0104399627982888	0.0175706988099795	"*"	0.00579010856453559	24
"Klf1"	"yellow"	"Klf1"	"yellow"	3.99068892513359	5.09201140036229e-15	3.96724856884624e-14	"***"	0.00835874844685417	74
"Nr1h3::Rxra"	"yellow"	"Nr1h3::Rxra"	"yellow"	2.07102112356636	0.000148090942943728	0.000371345342546559	"***"	0.00619560407139696	42
"MEF2C"	"yellow"	"MEF2C"	"yellow"	2.41503332216381	3.57557514630653e-07	1.35485920464491e-06	"***"	0.00594795539033457	72
"MAF::NFE2"	"yellow"	"MAF::NFE2"	"yellow"	2.71566006064164	3.39842748302576e-06	1.11684004508247e-05	"***"	0.00804352969008753	34
"Nkx2-5(var.2)"	"yellow"	"Nkx2-5(var.2)"	"yellow"	2.07752616490873	0.000606782197866011	0.00135071844717059	"**"	0.00647587215374974	31
"NR2C2"	"yellow"	"NR2C2"	"yellow"	3.50220680484093	4.74790397379987e-12	2.8650648044123e-11	"***"	0.00836594251787883	62
"Nr5a2"	"yellow"	"Nr5a2"	"yellow"	2.23601940798567	4.53777948523098e-05	0.000126136320297431	"***"	0.00664893617021277	40
"NRF1"	"yellow"	"NRF1"	"yellow"	3.59297120440748	2.63457862375712e-11	1.50173497866117e-10	"***"	0.00924918389553863	51
"POU2F2"	"yellow"	"POU2F2"	"yellow"	1.1423709914846	0.301007683649805	0.341913562242489	" "	0.00398112651135358	27
"SMAD2::SMAD3::SMAD4"	"yellow"	"SMAD2::SMAD3::SMAD4"	"yellow"	2.75433361497443	3.86495873985515e-08	1.65111480024735e-07	"***"	0.00731310942578548	54
"Sox3"	"yellow"	"Sox3"	"yellow"	2.00890387695613	0.000144098914915644	0.000362403002198299	"***"	0.00590043023970498	48
"Sox6"	"yellow"	"Sox6"	"yellow"	1.72362436510525	0.00628685517307217	0.011176631418795	"*"	0.00550642416152178	33
"STAT1::STAT2"	"yellow"	"STAT1::STAT2"	"yellow"	2.8150845764206	3.24197949437848e-09	1.5553162075925e-08	"***"	0.00664918524068178	71
"Stat4"	"yellow"	"Stat4"	"yellow"	2.2150763010416	4.70930139938137e-05	0.000130478694296695	"***"	0.0065694600224323	41
"Stat5a::Stat5b"	"yellow"	"Stat5a::Stat5b"	"yellow"	2.45278793559006	5.99477980946646e-06	1.90201200972333e-05	"***"	0.00714285714285714	41
"Stat6"	"yellow"	"Stat6"	"yellow"	1.52612769754004	0.0368487858155281	0.0533382376296561	""	0.00504767246214246	27
"Tcf12"	"yellow"	"Tcf12"	"yellow"	2.50149049459373	1.40445728425399e-06	4.87881319698942e-06	"***"	0.00704436450839328	47
"TCF7L2"	"yellow"	"TCF7L2"	"yellow"	1.63639203406121	0.017238661733295	0.0273545156140134	"*"	0.00534045393858478	28
"ZBTB33"	"yellow"	"ZBTB33"	"yellow"	3.38477350152872	6.81078123823544e-06	2.1370527039847e-05	"***"	0.0102589154860772	21
"ELK4"	"yellow"	"ELK4"	"yellow"	1.14458076561068	0.334819750441388	0.374584349609843	" "	0.00398230088495575	18
"ESR2"	"yellow"	"ESR2"	"yellow"	2.83393836316026	3.95576693075036e-07	1.48852566473633e-06	"***"	0.0081419624217119	39
"IRF1"	"yellow"	"IRF1"	"yellow"	3.07115064291615	2.06474534400481e-10	1.10218248774783e-09	"***"	0.00614525139664804	88
"Nfe2l2"	"yellow"	"Nfe2l2"	"yellow"	2.59017678985095	1.06430581726913e-05	3.24070261095009e-05	"***"	0.0077574047954866	33
"STAT1"	"yellow"	"STAT1"	"yellow"	1.89692305108269	0.00194842872975863	0.00391390867021188	"**"	0.00597907324364723	32
"STAT3"	"yellow"	"STAT3"	"yellow"	2.28486048351393	1.43987366782651e-05	4.29658302479429e-05	"***"	0.00661570126433402	45
"GATA1::TAL1"	"yellow"	"GATA1::TAL1"	"yellow"	1.89713264564881	0.00941768663977793	0.0160493300588791	"*"	0.0061633281972265	20
"YY1"	"yellow"	"YY1"	"yellow"	1.6312531364984	0.0123286385759353	0.0203420832239929	"*"	0.00526399744775881	33
"Bach1::Mafk"	"yellow"	"Bach1::Mafk"	"yellow"	2.37437577450987	0.000141904240176829	0.00035703393987155	"***"	0.0073394495412844	28
"FOXP2"	"yellow"	"FOXP2"	"yellow"	1.50081053860345	0.0363172491998333	0.0526710433109612	""	0.00495049504950495	30
"SREBF1"	"yellow"	"SREBF1"	"yellow"	2.14355557310933	0.000323537599201555	0.000757799211944616	"***"	0.00662663077241665	32
"SREBF2"	"yellow"	"SREBF2"	"yellow"	2.75183758248586	9.63592534533366e-07	3.42712767943691e-06	"***"	0.00798151648813275	38
"THAP1"	"yellow"	"THAP1"	"yellow"	2.4118607425322	3.83750919935008e-05	0.000107876848335946	"***"	0.00729765590446705	33
"KLF5"	"yellow"	"KLF5"	"yellow"	7.69650198536155	2.73796557727042e-27	4.48906004537083e-26	"***"	0.00851337241988595	106
"Arid3b"	"yellow"	"Arid3b"	"yellow"	1.05607917650077	0.44191390547564	0.478646495077789	" "	0.00373376623376623	23
"Arid5a"	"yellow"	"Arid5a"	"yellow"	1.79810967632341	0.00542777711984965	0.00979823770455618	"**"	0.00576655398687612	29
"Arntl"	"yellow"	"Arntl"	"yellow"	1.51845372110039	0.128318911636573	0.159776187074289	" "	0.00505282498851631	11
"Atf1"	"yellow"	"Atf1"	"yellow"	0.784684527387447	0.723609778013996	0.744056367192889	" "	0.00241254523522316	2
"NFAT5"	"yellow"	"NFAT5"	"yellow"	1.6515067725581	0.00924639473346959	0.0157889796192694	"*"	0.00528940607526069	35
"Bhlha15"	"yellow"	"Bhlha15"	"yellow"	1.20889035302273	0.329545143939008	0.369546301959414	" "	0.00411353352529823	10
"Creb3l2"	"yellow"	"Creb3l2"	"yellow"	1.05156868090547	0.503748522470765	0.539162694064836	" "	0.00356597045338767	7
"DMRT3"	"yellow"	"DMRT3"	"yellow"	2.0303478769235	0.00407806974660266	0.0075889991417913	"**"	0.00652985074626866	21
"Dux"	"yellow"	"Dux"	"yellow"	0.972913715498613	0.579886601029646	0.610148666245579	" "	0.00340979541227526	11
"FOXG1"	"yellow"	"FOXG1"	"yellow"	1.3054289549084	0.166186951749019	0.201218041801207	" "	0.00445732114998886	20
"Foxj2"	"yellow"	"Foxj2"	"yellow"	1.3054289549084	0.166186951749019	0.201218041801207	" "	0.00445732114998886	20
"Gmeb1"	"yellow"	"Gmeb1"	"yellow"	1.66339411376095	0.275430908267251	0.315745612858039	" "	0.00474683544303797	3
"LBX1"	"yellow"	"LBX1"	"yellow"	1.4855764759885	0.0825414022917965	0.108599446401552	" "	0.00498753117206983	18
"LIN54"	"yellow"	"LIN54"	"yellow"	1.72143299378157	0.00431579703014137	0.00797667286338919	"**"	0.00542160079897275	38
"mix-a"	"yellow"	"mix-a"	"yellow"	0.987544464738377	0.559218153741035	0.591111218832182	" "	0.00348692403486924	14
"Mlxip"	"yellow"	"Mlxip"	"yellow"	0.972222618000814	0.584759326778867	0.614733778794483	" "	0.00329127811300055	6
"NFATC1"	"yellow"	"NFATC1"	"yellow"	1.71663938747916	0.0066178170696404	0.0116839722823997	"*"	0.00548810909695659	33
