"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"Arnt"	"yellow"	"Arnt"	"yellow"	2.35432364201118	2.35892489356364e-06	7.37595523111049e-06	"***"	0.00917610308473253	47
"Ahr::Arnt"	"yellow"	"Ahr::Arnt"	"yellow"	2.61323090442707	6.37708146338483e-09	2.9074424884248e-08	"***"	0.00940208608785074	64
"Ddit3::Cebpa"	"yellow"	"Ddit3::Cebpa"	"yellow"	1.6340587483446	0.0128109272626485	0.0196342100419841	"*"	0.00698812019566737	30
"Mecom"	"yellow"	"Mecom"	"yellow"	1.76521389410563	0.00200417641128885	0.00367689050801472	"**"	0.00736265810836322	39
"FOXF2"	"yellow"	"FOXF2"	"yellow"	1.46902495374488	0.0421394174246458	0.0570009164075898	""	0.00638907248292575	29
"FOXD1"	"yellow"	"FOXD1"	"yellow"	1.61148840568626	0.0250778023686823	0.035985651487448	"*"	0.0069284064665127	24
"Foxq1"	"yellow"	"Foxq1"	"yellow"	1.3180054535385	0.0956496442457812	0.119471970878782	" "	0.00582318687136051	33
"Foxd3"	"yellow"	"Foxd3"	"yellow"	2.16617065572548	4.1100058376722e-07	1.44298491041464e-06	"***"	0.00753836489275778	84
"IRF2"	"yellow"	"IRF2"	"yellow"	2.32992046404379	1.80369729339636e-06	5.75332199197728e-06	"***"	0.00901225666906993	50
"MZF1(var.2)"	"yellow"	"MZF1(var.2)"	"yellow"	2.63312383842583	1.00131395098831e-08	4.44631075855521e-08	"***"	0.00961230374879846	60
"MAX::MYC"	"yellow"	"MAX::MYC"	"yellow"	2.45128771984349	0.000239307053859127	0.000529545605276704	"***"	0.00997830802603037	23
"PPARG"	"yellow"	"PPARG"	"yellow"	2.23698697876687	0.000141927181461021	0.000325902816067478	"***"	0.00913915094339623	31
"Pax2"	"yellow"	"Pax2"	"yellow"	2.07749818629208	0.022944990946836	0.0332045843769925	"*"	0.00833333333333333	11
"PAX6"	"yellow"	"PAX6"	"yellow"	1.94389461651282	0.0112521579611575	0.0174695314027545	"*"	0.00811068702290076	17
"PBX1"	"yellow"	"PBX1"	"yellow"	0.850627312517144	0.745023581983667	0.7650207737919	" "	0.00388098318240621	12
"RORA"	"yellow"	"RORA"	"yellow"	1.51429239430774	0.0440130067058145	0.0593872086864799	""	0.00656634746922025	24
"RORA(var.2)"	"yellow"	"RORA(var.2)"	"yellow"	1.03691251980481	0.483702687579367	0.514478281852372	" "	0.00468521229868228	16
"RREB1"	"yellow"	"RREB1"	"yellow"	4.0131894162988	1.80888132432713e-19	2.42593342552457e-18	"***"	0.00999174993124943	109
"RXRA::VDR"	"yellow"	"RXRA::VDR"	"yellow"	2.2748502339617	0.000398999444323613	0.00084023595050223	"***"	0.0093423019431988	25
"SOX9"	"yellow"	"SOX9"	"yellow"	1.46671775364044	0.0748201897236441	0.0958212215173193	""	0.00637551801083838	20
"Sox17"	"yellow"	"Sox17"	"yellow"	1.4533955909083	0.0702673433614531	0.0905148942760958	""	0.00633458105384394	22
"SRY"	"yellow"	"SRY"	"yellow"	1.62013985325326	0.0119970396568434	0.0184865305117587	"*"	0.00692340977931631	32
"Sox5"	"yellow"	"Sox5"	"yellow"	1.63467785830446	0.00503633422976472	0.00843109191675621	"**"	0.00687510230807006	42
"TAL1::TCF3"	"yellow"	"TAL1::TCF3"	"yellow"	1.10066535298185	0.396030831906888	0.428638375919533	" "	0.00493370336108541	16
"Hand1::Tcf3"	"yellow"	"Hand1::Tcf3"	"yellow"	2.5901820771714	1.44339199648571e-06	4.6867048068698e-06	"***"	0.0101854270044398	39
"REL"	"yellow"	"REL"	"yellow"	2.80222651955227	1.39472548716249e-07	5.22518625699044e-07	"***"	0.0108350951374207	41
"RELA"	"yellow"	"RELA"	"yellow"	2.30776203497155	1.35638972486367e-05	3.73382558947711e-05	"***"	0.0092038656235619	40
"TBP"	"yellow"	"TBP"	"yellow"	1.27774859103964	0.19539448444163	0.227357044871836	" "	0.005640864932623	18
"HLTF"	"yellow"	"HLTF"	"yellow"	1.71167951444538	0.0173948007621551	0.0258560824280303	"*"	0.0072992700729927	22
"Spz1"	"yellow"	"Spz1"	"yellow"	2.43059508000054	1.3267887165918e-06	4.33403123186639e-06	"***"	0.00945334977394164	46
"NR1H2::RXRA"	"yellow"	"NR1H2::RXRA"	"yellow"	1.97177546369073	0.000738494107545412	0.00148095861351849	"**"	0.00817033919286952	33
"Znf423"	"yellow"	"Znf423"	"yellow"	2.47998396430885	2.35936637670743e-06	7.37595523111049e-06	"***"	0.00975958105213045	41
"NFIC::TLX1"	"yellow"	"NFIC::TLX1"	"yellow"	1.85336090296562	0.000824051784018469	0.00163713084121912	"**"	0.00765257317773101	40
"Nobox"	"yellow"	"Nobox"	"yellow"	0.890261176597523	0.679046782990783	0.702105197659215	" "	0.00395256916996047	9
"ZNF354C"	"yellow"	"ZNF354C"	"yellow"	2.68563561411306	1.01725290627735e-10	5.82067626525718e-10	"***"	0.0083912298114229	93
"Lhx3"	"yellow"	"Lhx3"	"yellow"	1.45898571916102	0.0258743298445014	0.0370395779592191	"*"	0.00628831944662789	40
"CTCF"	"yellow"	"CTCF"	"yellow"	3.86754479382695	8.57991935522249e-17	9.29309595498508e-16	"***"	0.0121444550974752	76
"Pou5f1::Sox2"	"yellow"	"Pou5f1::Sox2"	"yellow"	2.09693378437267	1.3357590027999e-05	3.68383074339639e-05	"***"	0.00816944024205749	54
