"gene_name"	"module"	"color"	"kME_grey"	"kME_allcells_allgenes_ND_25neighbors-M1"	"kME_allcells_allgenes_ND_25neighbors-M2"	"kME_allcells_allgenes_ND_25neighbors-M3"	"kME_allcells_allgenes_ND_25neighbors-M4"	"kME_allcells_allgenes_ND_25neighbors-M5"	"kME_allcells_allgenes_ND_25neighbors-M6"	"kME_allcells_allgenes_ND_25neighbors-M7"	"kME_allcells_allgenes_ND_25neighbors-M8"	"kME_allcells_allgenes_ND_25neighbors-M9"	"kME_allcells_allgenes_ND_25neighbors-M10"	"kME_allcells_allgenes_ND_25neighbors-M11"
"AL627309.5"	"AL627309.5"	"grey"	"grey"	0.00289594398283594	0.0238597810717758	0.00353355402102051	0.00130365005354833	0.0058070019825842	-0.000983157293471166	0.0229524924861095	0.0300513722666584	0.0198038474196711	0.0198327124623122	0.01520452344546	0.0272525165821341
"LINC01409"	"LINC01409"	"grey"	"grey"	-0.00034367047072311	0.0848762893748163	0.0758430418414982	0.0494620427258688	-0.00605921078819584	0.0356624251340543	-0.0452901580854509	9.27656596282768e-05	0.0526808339904829	0.0187601707557175	0.0493547591133906	0.0405156968446919
"LINC01128"	"LINC01128"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0344494136675849	-0.027939956242097	-0.0755009351993615	-0.0549452902897837	-0.0435138801429218	-0.0850212223111176	0.125817834259227	0.124040740917064	0.0370670755796207	0.052792099067935	0.026093283674496	0.0716918462465663
"SAMD11"	"SAMD11"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0793555357866739	-0.119456054895088	-0.133028953994884	-0.0170478933479615	-0.0130973576633762	-0.101963821377655	0.134997082930521	0.0341925474253117	-0.0846787719942618	0.125835877098506	0.0293767333581544	0.0149286803769236
"NOC2L"	"NOC2L"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0135507913252243	-0.0528281804320206	-0.0661751663269483	-0.0316199162275051	0.0134121164167383	-0.0299816610723084	0.0788882472271063	0.0235116595266709	-0.0355908316008515	-0.00109722539094465	-0.0329654181866891	-0.0293901826963575
"AGRN"	"AGRN"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0225957558167095	-0.084577868937602	-0.098808654232286	-0.0658100112450104	-0.0236849363915892	-0.0814854690310552	0.105748753149425	0.0523627177012389	-0.0279800067159837	0.00491026431527422	-0.0235949421092823	-0.00113518707952822
"C1orf159"	"C1orf159"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0110269732564835	-0.114174424130678	-0.146029332145658	-0.0737611910348555	-0.00353144489462187	-0.0896252327041187	0.171826712926983	0.0486065580406589	-0.060151698022083	-0.00332785168101968	-0.0557294926419981	-0.0340104781093171
"AL390719.2"	"AL390719.2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0272222040798052	-0.0861011639306873	-0.083874040017678	-0.0601337141833274	0.0251535221409834	-0.0323590281488952	0.0889550564561648	0.00331326369573348	-0.064671440664008	-0.0345420053129103	-0.0648109449108995	-0.0598396642122075
"TTLL10"	"TTLL10"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00520035398615134	-0.078928723780841	-0.0886529747460912	-0.0804175136355201	-0.0134734145505095	-0.0605460677148761	0.102047191771487	0.0597410508568333	-0.00853445491918014	-0.0498013625976254	-0.0624359776924003	-0.0225349650067675
"SDF4"	"SDF4"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0156917336990186	-0.0819073523775307	-0.0817214522136068	-0.0400688846328418	0.0102996692643787	-0.0349081742305162	0.0944052444032486	0.0134695279821775	-0.0466822818218637	-0.00629440683629064	-0.0452479617828788	-0.0386840305225727
"UBE2J2"	"UBE2J2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00980543983842469	-0.123104896723469	-0.16008214728998	-0.10583791576828	-0.0300134123671518	-0.118569984754448	0.189841990453319	0.0985263944635111	-0.0402526205027348	0.0111578139568778	-0.047306804090885	-0.00365327838978475
"ACAP3"	"ACAP3"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0565091054033601	-0.405516139649682	-0.458071293776675	-0.259388431858102	-0.0262115175446019	-0.310557714880775	0.499074825172274	0.124295024321423	-0.241938675832436	0.0282145844433786	-0.158391355714637	-0.100911274872363
"INTS11"	"INTS11"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.000196936277343185	-0.128055858942597	-0.144083072824437	-0.0902414593972338	-0.000196760404234622	-0.0901064557546297	0.164894611201117	0.0481749412866147	-0.0641658473741493	-0.0148093383843349	-0.0632985093854858	-0.0410272486600353
