"gene_name"	"module"	"color"	"kME_grey"	"kME_betacells_allgenes_ND_25neighbors-M1"	"kME_betacells_allgenes_ND_25neighbors-M2"	"kME_betacells_allgenes_ND_25neighbors-M3"	"kME_betacells_allgenes_ND_25neighbors-M4"	"kME_betacells_allgenes_ND_25neighbors-M5"
"AL627309.5"	"AL627309.5"	"grey"	"grey"	0.016213121330102	0.0067549095205665	0.0279640505950837	0.0100209616301055	0.0303764013856155	-0.00120792041856663
"LINC01409"	"LINC01409"	"grey"	"grey"	-0.0560486898406697	0.00868954822077455	-0.0343847019351391	0.0724098640347839	0.0612383618902621	0.0838247327493298
"LINC01128"	"LINC01128"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.126961363998442	-0.0384704287606669	0.0388936024213519	-0.0113457080484293	0.0427195011025603	-0.0787365053893727
"SAMD11"	"SAMD11"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.133517883147234	-0.0315108422190416	0.0499140775568633	-0.0951603396787066	-0.121486816864742	-0.133119076538342
"NOC2L"	"NOC2L"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0724665249171346	-0.0160911120988596	0.0109280093722018	-0.0253329130839593	-0.0247305346116804	-0.0599533649480625
"AGRN"	"AGRN"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.111049502826032	-0.0564001499769884	-0.0111848507090623	-0.0313036932516837	-0.0521408665017573	-0.0981653977286924
"C1orf159"	"C1orf159"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.172889543355076	-0.0933835973940767	-0.0345580246358189	-0.0270135509993752	-0.0620995752364271	-0.144267258120431
"AL390719.2"	"AL390719.2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0885081206129068	-0.0724499845612718	-0.0327315478155619	-0.0195622542929452	-0.0672370186000565	-0.0868692478464093
"TTLL10"	"TTLL10"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.111259381819802	-0.077815922747728	-0.0455817083050128	0.0145829721642499	-0.0312511982537873	-0.0923265797084855
"SDF4"	"SDF4"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.108375616618439	-0.0505768375267662	-0.0206035181751577	-0.0243801441503835	-0.078797600864655	-0.0967344304661521
"UBE2J2"	"UBE2J2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.210196303973826	-0.0838503610068063	0.0133001645051966	-0.055384556250388	-0.0535983353129062	-0.170395084237675
"ACAP3"	"ACAP3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.49941514749218	-0.248075046414268	-0.0151220196151405	-0.188657620616475	-0.289853669621821	-0.457155119368886
"INTS11"	"INTS11"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.168804113654577	-0.0782325455405015	-0.0103831212433064	-0.0416015579313795	-0.090188629570105	-0.145207197800734
"DVL1"	"DVL1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.101165507729037	-0.0720673587700149	-0.0303288507355602	-0.0200208509819962	-0.0735908068368921	-0.100218583128986
